Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
EXEL	11730000000.0		0.23440000000000003	0.3056	29.01%	3.75	3.68	0.08	0.08	0.9662999999999999	0.35850000000000004	0.2963	Feb 10/a	43.74	0.003	1924441.0	Exelixis Inc	Healthcare	Biotechnology	USA	18.41	0.42	1.46	-0.0113	0.0039000000000000003	0.0667	-0.1185	0.3542	48.47	-0.0014000000000000002	0.0044	13.08	0.38	5.13	5.43	11.86	15.04	0.6638	0.142	0.1155	0.34740000000000004	0.1751	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-27	100
NVDA	4581040000000.0	0.0002	0.7715000000000001	1.0735999999999999	77.27%	4.47	3.71	0.08	0.09	0.7005	0.5884	0.5301	Nov 19/a	188.52	0.011000000000000001	138583957.0	NVIDIA Corp	Technology	Semiconductors	USA	46.69	2.31	5.11	0.0131	0.0269	0.1321	-0.1116	1.1764000000000001	54.92	0.006500000000000001	0.0045000000000000005	24.34	0.49	24.48	38.54	75.58	59.24	0.5660000000000001	0.6543000000000001	0.9183	0.4924	0.6424	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-27	100
KGC	45710000000.0	0.0033	0.1537	0.2409	19.09%	2.83	1.68	0.16	0.16	0.4301	0.4007	0.273	Feb 18/a	37.87	0.0	10986923.0	Kinross Gold Corp	Basic Materials	Gold	Canada	26.43	0.75	1.45	0.1592	0.28859999999999997	0.7705	-0.0317	2.6696	79.62	-0.0063	0.0063	14.18	0.24	7.09	5.76	26.33	20.89	1.5829	0.5205	0.06280000000000001	0.5977	0.08039999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-27	100
MU	461730000000.0	0.0012	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Dec 17/a	410.24	0.054400000000000004	34328669.0	Micron Technology Inc	Technology	Semiconductors	USA	39.0	1.52	18.58	0.1852	0.44439999999999996	1.4	-0.0053	5.6662	76.67	0.0129	0.0409	9.43	0.13	10.91	7.86	44.75	99.25	2.9621	0.3248	0.2619	0.7526999999999999	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-27	100
EVR	14060000000.0	0.0092	0.1323	0.3139	18.65%	2.71	2.71	0.57	0.63	0.9890000000000001	0.20079999999999998	0.1483	Feb 04/b	363.51	-0.0011	307790.0	Evercore Inc	Financial	Capital Markets	USA	28.99	1.57	11.55	-0.0032	0.064	0.22690000000000002	-0.06480000000000001	1.4457	53.32	-0.0003	-0.0008	20.26	0.58	3.95	7.75	5.82	13.58	0.4254	0.33630000000000004	0.056900000000000006	0.3507	0.08109999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-27	95
STRL	11440000000.0		0.1377	0.35729999999999995	22.98%	1.0	1.0	0.31	0.34	0.22190000000000001	0.16140000000000002	0.1414	Nov 03/a	372.25	0.030600000000000002	313464.0	Sterling Infrastructure Inc	Industrials	Engineering & Construction	USA	36.5	1.51	17.7	0.1275	0.1408	0.33149999999999996	-0.1119	2.8638999999999997	65.68	0.024399999999999998	0.0060999999999999995	30.99	0.91	5.12	10.88	37.32	31.74	0.6933	0.1628	0.41229999999999994	0.34149999999999997	0.1344	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-27	95
FHI	4070000000.0000005	0.0253	0.1725	0.3206	22.33%	3.13	3.13	0.37	0.39	0.7529	0.2893	0.20800000000000002	Jan 29/a	52.51	-0.0169	431995.0	Federated Hermes Inc	Financial	Asset Management	USA	10.98	0.73	1.22	-0.011399999999999999	0.0146	0.0848	-0.0475	0.49810000000000004	47.8	-0.0148	-0.0021	10.08	0.48	2.33	3.43	6.29	15.71	0.5378000000000001	0.0489	0.0377	0.2108	0.0429	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-27	95
WPM	67819999999.99999	0.0044	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Nov 06/a	149.38	0.0103	2885406.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	67.8	0.52	5.29	0.1406	0.2583	0.4885	-0.0344	1.5618	78.35	0.009300000000000001	0.0009	37.07	0.79	37.05	8.38	58.58	97.59	0.9504	0.4654	0.433	0.4672	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-27	90
RGLD	24790000000.0	0.0064	0.12359999999999999	0.149	11.49%	2.89	2.68	0.23	0.23	0.7159	0.6687000000000001	0.5597	Feb 18/a	293.73	0.011399999999999999	962873.0	Royal Gold, Inc	Basic Materials	Gold	USA	40.27	0.5	8.71	0.1517	0.3015	0.5443	-0.0196	1.1649	86.28	0.0155	-0.0040999999999999995	24.22	0.71	28.9	5.67	143.42		0.5327000000000001	0.5042	0.2865	0.341	0.11199999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-27	90
CLS	38330000000.0		0.1144	0.373	24.77%	1.47	0.88	0.43	0.45	0.1176	0.085	0.0635	Jan 28/a	333.17	0.0808	3428497.0	Celestica, Inc	Technology	Electronic Components	Canada	54.07	1.87	21.48	0.0867	0.07690000000000001	0.5318999999999999	-0.0832	4.7394	59.18	0.0646	0.015300000000000001	39.44	0.9	3.4	18.89	125.3	96.44	0.5266	0.42619999999999997	0.46520000000000006	0.4385	0.1038	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-27	90
